WD9953PU	310794461166|
LJ8521	310897023651|
CF8470	301096020967|
BC8996	310873029763|
PF1505	310845784447|
RP7412	310655927457|
TB0001HT	301127353001|
GT2750	300952692880|
DB8603BR	301022551939|
HD1806	310676738474|
TV5251	360888796242|
CR1900	310906189554|
CS7701EK	360888796284|
NL3069	360867197185|
SS0110	301104984477|
EG2011OR	310880459559|
GF1693	310698784410|
BS8033X2WT	310698784458|
TV3214	360803509468|
JP0006	360803509643|
RH8016	360628055337|
CG7192	310914894616|
AC0005RDBK	360894639410|
SP4550	310914910300|
BV0160	310914910531|
TB4015PK	301139047168|
AE2056	360894641687|
FD9125	310914911284|
FB0958YL	301139048008|
CP0355	360894643087|
CS8801BA	310914912025|
HB0601OR	310914912211|
PS1803GR	301139048277|
PN3743YL	310914912596|
RBA215BK	360894643506|
BZ7682	301109530399|
BD6116	310884418359|
HP6700YL	360871017830|
HP5500	310884418627|
SX1502PK	301109530955|
TB0145HT	360871018031|
PN3742	300915287707|
ST4100	310885875221|
JG1395	310885875573|
HB0888	301111214422|
JP0008XH	360756333560|
WU1806	301112435928|
G3085YL	301112436460|
FC9046	310886802981|
SQ4635	310886803216|
CR1510	360631175900|
G3085PU	360874129643|
DC1303	301113486786|
EP1150	360874129865|
CA0899GE	360874129878|
BZ7925	310887656174|
EQ0114	310887656384|
WF8801	360632511429|
ZT9057YL	360874733452|
BS2250OR	360851665400|
FN0165	310889250211|
CP6200GR	301115225243|
GH1700	301115225342|
CR1090	360875378458|
LK7455	310889250379|
BV0150	360876187116|
JY2123	310891309646|
SC2048	360877014983|
NL2847	360877015219|
GC0409	310891309814|
GC0409BL	310891309832|
BC2007	301117691475|
DB8603	310838472698|
G4000NT	301062378229|
LJ3324	310838472814|
SC0480	310838472860|
CC6084H	310892381365|
PB8804	360877804148|
SK5062	360877804182|
GC0408	360877805063|
PT9132BL	310892384079|
KI2001	360736096682|
JH1561	300963284214|
GH1800	301120817326|
CR1090YL	310894258225|
XJ0300	360657191522|
GW4600	310897023582|
XV6378	301096020245|
GE0001	301096020574|
CA0057BK	310873029184|
FD9080	360859089707|
BS2250BL	310873029803|
RU8841	310873029823|
BC0290RD	310873029879|
DB8381	360815826057|
QO4018	360838526311|
WB3800BK	310845784298|
BC0290PS	360838527116|
CC5245	360796968289|
SK0130	310676738496|
CL7022RD	360888796307|
SG0075	300975372126|
SX2801WT	310755891506|
PD4455	301104984674|
CR4001BK	360867291449|
CA8109	301030283108|
CR2494BL	300885262866|
CR8500BR	301139043890|
XV6365GR	301139043964|
JH1665	360894638451|
CR1073BK	360894639989|
CR1550BR	301139046619|
CW2143RD	360894642372|
FB0958RD	360894643199|
HB0601RD	360894643297|
KT2019WT	310884418057|
PB0223	301109531149|
PR0026	360670171541|
CC6800PK	310885096037|
EC8812	360872481356|
EC8773	301111214835|
SW4117DK	310886802831|
G3085BL	301112436388|
WP5050	360873381081|
BS0120	310666592248|
G3085RD	360874129662|
KT2019BK	301113487312|
YG6010BL	310887656312|
BD6116GR	301113487509|
AP1906	301113487648|
PC3005BL	310865357769|
MP2650	301088112022|
DB8578	301117688908|
AX7324	310891309849|
AH0070WT	360831232901|
QO3905	360831233000|
PB0025	310742625725|
PB8803	310894258153|
HD2730	300905932594|
FD9087	300905932813|
CZ8011	300905932827|
EC8775	310895046361|
RB0065RD	301122602289|
AX8020	300921029894|
SP0291	310690210313|
LI0668XH	360859089116|
RP4253	360859089162|
AX9010	301096020682|
RT4839	310873029852|
CF4486	300935886744|
SF0029	301045197304|
DG6441	301070968160|
TT0004BL	360838527569|
CH9001	300893996163|
BZ7711RX	300952692114|
IG1336	360723958397|
BC5590XY	301022551636|
SP5000	301022552056|
UC5200	310676738454|
RP1914	310676738625|
DC3007	310755891067|
RT2005	300975372449|
RC0060YL	301000357969|
KS5005	310880458643|
TC7600CQ	360867291509|
PF0106YL	310697485370|
WF8804RD	310697485839|
SM0403BK	310780990299|
JY2104	310780991058|
EW0200	310698784143|
PC6699	360687678130|
PH4950BL	300885262908|
BC0207	310914909985|
BL1100BK	310914910255|
DT1816BR	310914910578|
JS1712	360894639956|
EB0100	310914910753|
CF0004RD	310914911002|
EB0300	360894641740|
CR2404	360894642242|
JG1439	301139047969|
CS8801ER	301139048101|
CS7022BK	301139048233|
RC3427YL	310884418087|
CS6224	360871017578|
MS2427	301109530666|
TT0002YL	310884418468|
WM1025	360871017873|
BB3030	301109530941|
GE9485	310681999169|
AH0224	310682001091|
FD0189	310682002457|
G4000BK	310885096067|
CS5222BK	360871694897|
GH4005	301111213155|
BC8400	360872480641|
DJ0950	310885875397|
BT0501	301111213871|
FC9043	301111214466|
TB2800	360872481320|
CF0012BK	310885875858|
RC4950	310885875884|
VB0068YL	360756333468|
FD0122KS	300981347575|
TB0017HT	301142053791|
WD9953	360873380369|
GB4080	301112436830|
SF0029BL	310737832129|
MK2581	310646838104|
PL0972	310646838241|
ST4120RD	300887035303|
RP0746SL	300887035554|
PN3690	300887035765|
JH1531	360757674808|
BG8050YL	360652155265|
PH4950	300902476136|
DR5008	360874129428|
PF0150	360874129936|
SG0075BL	360851665160|
XC0001	310865358525|
MC6005	301116428579|
BS9028X4	360694164553|
G3085GR	310838472662|
TM4333	360831233535|
TR4917	310892381215|
GE0002	360877804382|
G2165GR	301118933632|
EB0370NK	301118934358|
EG2011BK	301118934516|
HC0170	300963284158|
RS0110	310894258095|
RP4426	300905932607|
VT5687	310670004830|
TY1035	360657191432|
TR4945	360789316427|
EV4320RD	301014551226|
WC6002	360790387428|
TY1052DW	301015695901|
RP5200	310794461618|
BG6268	360678437628|
IP0999	300921029989|
GS4200	360859088769|
ZX7217	310873028574|
SK8521	301096020147|
YW6642	310873028689|
DC3003	301096020522|
CT8018	360859089472|
GB8040	301096020893|
EV4320BL	310897901013|
YV6619BL	301045197013|
VT5610	310845783734|
GW9140	360838525813|
DG5628	310845783969|
FB0110KB	301070968527|
PS0005	360838526220|
FD9100	301070969640|
EV4320BK	360838527280|
BR1050	310655926920|
ST4117BL	300952692791|
TK0111	300952692899|
SXP001	301131086145|
HL1133	310676738174|
SR9003	360749468173|
HC0170GR	360749468769|
SF0049PK	360749468888|
TY0150	360666721721|
FD9317	360666721761|
WD9922	310880458698|
GE9504BR	310880458885|
RZ9134	310880458933|
ST8820RD	360867198370|
BB0535	360867198624|
TB5643BK	301104985291|
SK8521BK	301105055901|
BG8050	301002671972|
FP1340GE	310780989406|
CC1710	360777239666|
PP1450	310780989999|
GT8558	310780990949|
BY7641	310698784103|
YG6009RD	300927293421|
YS8055BRX2	310698784437|
PR0045	300885262604|
WA9007PK	310644317964|
RP3056	310644318786|
BB0078SM	301139044066|
CR1000	360894639495|
DC3009	301139046238|
BCHAR1	301139047034|
PS0165	301139047539|
CH1400X120	301139047631|
EW0201	360894641961|
MX3520	301139047924|
YW6835	360894643238|
PS1803	310914912343|
RBA215GR	310914912689|
TR5011	310884418407|
RC3425GR	310884418518|
CYPWCAMN2	300915287521|
GE9504	310682001216|
HL1133SL	310682001878|
TY6898	310885875363|
WM1026	310885875728|
BO0001	301111214639|
CC5500	360897170995|
JY2098	301142053638|
FW0296	360897171222|
WU6021	301112436093|
HB1003	301112437796|
CB1310BL	310762310113|
CR3351	360757674647|
EB8677	310762310206|
LJ3175	360757674855|
WU6069	300982485473|
TR3005	360652154831|
CH9001BL	300902475816|
RP0746	300902476026|
CC6800	301113485972|
BZ7922	360874129847|
SS3218	360874129960|
YS8031BKX4	360874130001|
CS7022YL	310887656338|
FD3331	300945281372|
NF6003	360632511342|
XV6432	310647844392|
BZ7934	360874733310|
G3085WT	360874733339|
DR5008BL	301117688541|
GE9617	310891309435|
HP5500RD	310891309862|
BS9061X2	360694164343|
RK6429	301062377877|
LJ2197	310838472612|
EB0037OR	310838472880|
WD9922KB	310892381270|
WU6005	301118932718|
ST1163	310892381699|
SK5034	360877804442|
YW6648BL	310892381966|
CZ7989	310892382015|
KT2019RD	310892382187|
PN3712	301118934302|
NL2906	360736096744|
NL2994	360736096975|
GD9356	310742625037|
GE9691	310742625251|
LF0076	360736097971|
EB8661	360736098040|
KS0060PK	310687697467|
RP4249	310687697587|
HB1004	360675857125|
PL2513	310670004695|
BG1196	300905932833|
TY1030	310670004941|
JH1678	360657191441|
LJ2226	300905933005|
TR7542	360657191512|
SF0049	360789316128|
PP1175	310895046209|
PN3552	310896029338|
DT9600	310845783933|
MP9800	360749468394|
HD3213	360774909921|
TR5104	310644317755|
HD2655	300885262686|
BK8X70	301139045572|
CB1003	310914910393|
KB1350	360894640423|
PF0106BL	310884418766|
RT5914CF	301109531160|
YZ0208	360897171059|
BY7627	310918562682|
TB0010HT	301142053680|
PE0003	360897171234|
GW4600RD	310887653296|
EC8828BL	301113486267|
QQ0600BK	310887655698|
HD3215	310887656155|
PF0150BL	360874129949|
RP0746WT	310719304810|
PN3648	310647844229|
XV6432BL	300887878724|
LJ2314	310865358600|
ME0001BL	310889250133|
JH1530	360875378749|
CR6501BL	301117689088|
PF0146BL	310891309597|
WH2500YL	301117691514|
CT0060RD	360694164019|
FT0001	301118932687|
KT3361	310892381783|
CP6220	360877804627|
LJ8521BK	360877804679|
MO0270	301118933976|
YW6844	301118934108|
KI2046	310892382282|
CS6224RK	360877805166|
FC9013	310742624907|
BG1819	300905932641|
AX9020	310793267406|
GT2550	301122602257|
FF0081	360880634052|
TR4960	301015695424|
JB001CRBT	310897023624|
TP0150	360882282830|
VT5818WD	301124402673|
GP2250OR	310897900838|
RP0805	360882282921|
EB0037PK	301124402757|
BD8933BE	310897901514|
BK0034RDBK	360884773409|
DG6863	301131086066|
SL5501	310911094859|
CT0036	360894638196|
NK2800	301139045938|
DC3004	310914910155|
TN01085BK	310914910351|
JH1651	360894641299|
CH1400X100	310914911046|
CB0178	310914911234|
CR6501YL	360894642105|
PA0250	310914911651|
EQ0114SL	301139048397|
EQ0114WT	301139048428|
DR0810RD	360894643593|
UC0145RD	360871018155|
PT9132	360871695663|
LI6280	360872480630|
DA8318X2	301111214283|
RB0065YL	360897171025|
PE0070	310918562579|
SS1041	360897171088|
KT1100	301142053601|
CW2142	310918562964|
CW2142BK	310918563003|
FL0380	310918563121|
PC6688	301142054162|
TO0250YL	301112436583|
WC6010	360874129364|
CC1810	310887653332|
LI9090BL	310887653351|
KI2069	360874129597|
XV6366BL	310887654087|
PF7001	301113486635|
BB1830	301113487265|
BS5400WT	301113487552|
G4000PU	301114408291|
EB0370GE	301114408332|
BD8933	310888389249|
TR1580	360851665280|
TR5056	301088112608|
TY1057MK	310891309471|
CP4011	360877014331|
HR2070	301117688979|
WH6000	301117689421|
WH8000SW	310891309635|
RP1914RD	360877014923|
LJ3324BK	360877015141|
TV0095	301118932346|
GE9526	310892381180|
HF9874	360877803542|
XT5844BB	301118932557|
CB6009	301118932768|
ST8820CF	360877803839|
CA8125	310892381493|
BC8400TB	310892381515|
DC3010	360877803930|
RS0039	360877803959|
RC0060RD	360877803998|
HL1133BL	301118933060|
WD8513GY	301118933105|
WD8513OG	301118933140|
XV6370	360877804303|
YW6801	360877805039|
BD7196BL	301118938750|
BD7196RD	310892383801|
BD8933AR	360877808246|
BD7644	360877808290|
BD7644RG	310892383937|
BD2674	360877808382|
YW6908	300963283727|
CT9600	360879153941|
XT5844	301015695450|
GK2000	310873028515|
SM0601	360838526071|
CB2000	360867198655|
YV6619RD	310884418819|
DA8359	301109531134|
PP0803	360872480947|
PL5000	360873380340|
BG3731	310886802726|
SK2299	360873380465|
LJ2176	310886803125|
GG0270BL	301112437022|
WD6394	300887035511|
FL8200	301113486402|
QQ0600WT	360874129750|
UR5220	360632511570|
BB4300	301088112348|
RP4306	300905932622|
NF6031	310780987796|
BB4400	360871018128|
FC9046YL	301112436722|
RK7555RP	301113485847|
RG0220	310887656295|
MK2564	310676738130|
BG8050BL	360872480584|
WC3200	310886803153|
WD8542	360874129383|
EC8828	310887653430|
CT0604	360874129611|
BC8400BL	301113486740|
RK7555BR	310885095943|
LJ6115	301110195428|
ED0900	310887653391|
VS5588	301113486188|
BZ7822	301113486516|
TT0250BK	301113486720|
BN8X70	360874129823|
FD9061	310885875163|
CT8021	301111213251|
FB0110BL	360872480612|
XV6469	310887654372|
DC1203	301113486761|
DR5679	360874733291|
HE9747	360838525364|
HE9748	360666721155